Title,Body,Labels
Phase 1.1 – Core repo scaffolding,"Set up Foundry project structure for the core protocol. Establish formatting, linting, and directory conventions used by all contracts and tests.",core,infra
Phase 1.2 – VSP token implementation,"Implement ERC-20 VSP token with mint and burn functions gated by Authority roles. Include full unit test coverage.",core,token
Phase 1.3 – Authority role controller,"Implement Authority contract with owner-controlled minter and burner roles. Ensure proper access control and tests.",core,auth
Phase 1.4 – Deployment scripts,"Create Foundry scripts for deploying VSPToken and Authority to Fuji and mainnet.",core,deployment
Phase 2.1 – Post model and registry,"Implement PostRegistry with support for Claim and Link posts, including storage, creation, and getters.",core,registry
Phase 2.2 – Claim creation flow,"Add claim creation logic, validation, and retrieval in PostRegistry, with tests.",core,claims
Phase 2.3 – Link creation flow,"Implement creation of link posts connecting independent and dependent claims, including isChallenge flag.",core,links
Phase 2.4 – Link graph storage,"Implement LinkGraph to store incoming and outgoing edges between claims with link metadata.",core,graph
Phase 2.5 – Enforce acyclic claim graph,"Prevent creation of links that would introduce cycles in the claim dependency graph. Add revert logic and tests.",core,graph
Phase 3.1 – Base verity score definition,"Define baseVS for claims and links as (support/(support+challenge))*2−1 with fixed-point scaling.",core,scoring
Phase 3.2 – EffectiveVS formal specification,"Formally specify effectiveVS for claims, including recursive accumulation of upstream influence via links (Option A: positive IC influence only).",core,scoring,docs
Phase 3.3 – EffectiveVS implementation,"Implement effectiveVS calculation in ScoreEngine using recursive DAG traversal and link stake discounting.",core,scoring
Phase 3.4 – Protocol read-only views,"Implement ProtocolViews contract to expose claim summaries, edges, baseVS, and effectiveVS for off-chain consumers.",core,views
Phase 3.5 – Scoring gas and safety review,"Audit ScoreEngine recursion depth, gas usage, and add defensive limits if necessary.",core,scoring
Phase 4.1 – Stake engine core,"Implement StakeEngine staking and withdrawal logic with per-post support/challenge totals.",core,staking
Phase 4.2 – Epoch settlement logic,"Implement epoch-based stake updates using effectiveVS, including neutrality at VS=0.",core,staking
Phase 4.3 – Mint/burn settlement integration,"Integrate VSP minting for gains and burning for losses during epoch settlement via Authority-controlled calls.",core,staking,token
Phase 4.4 – Invariant and fuzz testing,"Add invariant and fuzz tests for stake conservation, monotonicity, and edge cases across epochs.",core,testing
Phase 4.5 – Core security review,"Review core contracts for access control, reentrancy, overflow, and logic errors. Apply fixes as needed.",core,security
Phase 5.1 – Backend skeleton,"Create backend service skeleton including configuration, environment management, and database migrations.",backend
Phase 5.2 – Chain indexer,"Implement indexer to ingest on-chain events (posts, links, stakes, settlements) into backend storage.",backend,indexer
Phase 5.3 – Read API,"Expose read-only API endpoints for claims, links, scores, and stake totals.",backend,api
Phase 5.4 – Transaction helpers,"Provide backend helpers for constructing stake, withdraw, claim, and link transactions.",backend,api
Phase 5.5 – Backend security and rate limiting,"Add authentication, rate limiting, and abuse prevention to backend APIs.",backend,security
Phase 6.1 – Frontend scaffold,"Create frontend application scaffold and build pipeline.",frontend
Phase 6.2 – Claim browsing UI,"Implement UI for browsing claims, viewing effectiveVS, and inspecting stake breakdowns.",frontend,ui
Phase 6.3 – Claim and link creation UI,"Implement UI flows for publishing claims and creating support/challenge links.",frontend,ui
Phase 6.4 – Staking UI,"Implement UI for staking, withdrawing, and viewing epoch status.",frontend,ui
Phase 6.5 – Graph visualization,"Add visualization for claim dependency graph with incoming/outgoing links.",frontend,ui
Phase 7.1 – Testnet deployment,"Deploy full system to Fuji testnet and publish verified contract addresses.",deployment
Phase 7.2 – Observability,"Add logging, metrics, and alerting for backend and indexer services.",backend,ops
Phase 7.3 – Load testing,"Perform load testing on backend APIs and indexer throughput.",backend,ops
Phase 7.4 – Disaster recovery planning,"Prepare backup, replay, and recovery procedures for production incidents.",ops
Phase 8.1 – Beta rollout,"Conduct limited beta rollout with selected users and collect feedback.",product
Phase 8.2 – Mainnet readiness review,"Final security, economic, and operational review prior to mainnet launch.",security,release
Phase 8.3 – Mainnet deployment,"Deploy contracts and backend to mainnet and switch production endpoints.",deployment,release
Phase 8.4 – Production monitoring,"Establish on-call rotation, alert tuning, and incident response process.",ops
Phase 8.5 – Public launch,"Public launch announcement, documentation finalization, and support channels.",release
